,Member_number,Date,productId,items,productName,price,Category,order_id,gross_sales,Recency,Frequency,Monetary,Cluster
31,3709,2015-10-26,22,3,root vegetables,1.8,Fresh Food,32,5.4,65,21,191.84,0
32,4289,2015-10-08,23,2,pork,7.2,Fresh Food,33,14.4,83,9,115.3,2
33,1559,2015-10-03,8,2,beef,19.5,Fresh Food,34,39.0,88,7,103.0,2
34,2900,2015-04-11,24,3,pastry,3.1,Bakery & Sweets,35,9.3,263,12,72.72,4
35,1905,2015-02-21,12,2,fruit/vegetable juice,2.1,Beverages,36,4.2,73,26,253.51,0
36,3527,2015-09-29,25,3,canned beer,1.1,Beverages,37,3.3000000000000003,92,12,92.62,2
37,1495,2015-01-09,22,3,root vegetables,1.8,Fresh Food,38,5.4,355,9,62.5,3
38,3558,2015-04-03,7,1,citrus fruit,1.5,Fresh Food,39,1.5,102,17,148.0,0
39,3128,2015-04-20,19,3,sausage,3.1,Fresh Food,40,9.3,122,17,129.8,0
40,1863,2015-08-04,1,1,tropical fruit,7.8,Fresh Food,41,7.8,148,14,110.6,4
41,3841,2015-07-19,26,3,berries,10.8,Fresh Food,42,32.400000000000006,164,17,136.38,4
42,3903,2015-10-06,25,3,canned beer,1.1,Beverages,43,3.3000000000000003,85,19,125.4,0
43,2658,2015-10-16,16,1,butter milk,6.1,Dairy,44,6.1,75,7,26.9,2
44,4272,2015-06-06,27,1,coffee,8.5,Beverages,45,8.5,207,27,244.0,0
45,1120,2015-09-26,24,3,pastry,3.1,Bakery & Sweets,46,9.3,95,17,144.39,0
46,2676,2015-08-15,5,2,rolls/buns,1.2,Bakery & Sweets,47,2.4,53,14,129.9,0
47,1697,2015-05-21,28,1,misc. beverages,1.2,Beverages,48,1.2,43,15,78.66,2
48,2507,2015-08-25,22,2,root vegetables,1.8,Fresh Food,49,3.6,0,13,125.6,2
49,4620,2015-03-11,19,2,sausage,3.1,Fresh Food,50,6.2,294,9,60.36,3
50,3365,2015-02-01,25,2,canned beer,1.1,Beverages,51,2.2,66,15,86.75,2
51,2978,2015-06-05,29,1,ham,15.2,Fresh Food,52,15.2,35,19,133.3,0
52,2910,2015-07-28,30,2,turkey,12.5,Fresh Food,53,25.0,26,15,95.8,2
53,1061,2015-09-05,2,1,whole milk,1.8,Dairy,54,1.8,116,14,149.1,0
54,3276,2015-04-03,2,2,whole milk,1.8,Dairy,55,3.6,183,15,151.8,4
55,1326,2015-06-19,13,3,packaged fruit/vegetables,3.5,Fresh Food,56,10.5,51,11,103.8,2
56,3023,2015-07-28,5,3,rolls/buns,1.2,Bakery & Sweets,57,3.5999999999999996,155,9,68.8,4
57,2185,2015-10-11,29,1,ham,15.2,Fresh Food,58,15.2,80,11,69.9,2
58,3552,2015-06-16,5,3,rolls/buns,1.2,Bakery & Sweets,59,3.5999999999999996,119,13,113.16,2
59,1967,2015-01-20,4,3,other vegetables,0.8,Fresh Food,60,2.4000000000000004,64,15,93.95,2
60,4708,2015-03-20,19,2,sausage,3.1,Fresh Food,61,6.2,89,14,157.8,0
61,2874,2015-02-15,19,1,sausage,3.1,Fresh Food,62,3.1,112,16,88.1,2
62,4177,2015-04-13,9,2,frankfurter,5.5,Fresh Food,63,11.0,198,10,70.3,4
63,1663,2015-02-07,5,2,rolls/buns,1.2,Bakery & Sweets,64,2.4,49,13,100.1,2
64,2632,2015-03-02,2,2,whole milk,1.8,Dairy,65,3.6,98,24,254.8,0
65,1377,2015-03-14,31,2,curd cheese,9.2,Dairy,66,18.4,291,11,92.9,3
66,4162,2015-12-22,32,2,red/blush wine,12.2,Beverages,67,24.4,8,14,114.0,2
67,2270,2015-07-01,19,2,sausage,3.1,Fresh Food,68,6.2,91,22,222.4,0
68,4829,2015-11-03,1,2,tropical fruit,7.8,Fresh Food,69,15.6,57,5,27.4,2
69,3811,2015-04-14,32,1,red/blush wine,12.2,Beverages,70,12.2,189,21,79.6,4
70,4766,2015-09-29,2,3,whole milk,1.8,Dairy,71,5.4,92,17,119.26,2
71,2436,2015-04-12,9,2,frankfurter,5.5,Fresh Food,72,11.0,36,11,86.6,2
72,3860,2015-05-05,2,2,whole milk,1.8,Dairy,73,3.6,239,7,51.27,4
73,4875,2015-05-12,33,2,frozen potato products,3.0,Frozen & Processed Food,74,6.0,65,29,249.6,0
74,1587,2015-07-01,4,2,other vegetables,0.8,Fresh Food,75,1.6,182,13,101.62,4
75,4038,2015-07-08,7,2,citrus fruit,1.5,Fresh Food,76,3.0,54,14,91.6,2
76,4750,2015-09-21,34,2,flour,2.1,Pantry Staples,77,4.2,100,11,94.52,2
77,1199,2015-12-10,35,3,sugar,1.2,Bakery & Sweets,78,3.5999999999999996,20,13,57.5,2
78,1603,2015-09-30,36,3,frozen meals,9.7,Frozen & Processed Food,79,29.099999999999998,91,15,106.75,2
79,3111,2015-01-31,14,2,chocolate,11.5,Bakery & Sweets,80,23.0,7,16,113.7,2
80,3894,2015-12-13,22,3,root vegetables,1.8,Fresh Food,81,5.4,17,12,92.9,2
81,1456,2015-09-18,22,1,root vegetables,1.8,Fresh Food,82,1.8,40,18,168.74,0
82,2022,2015-03-04,37,2,herbs,6.5,Fresh Food,83,13.0,161,23,260.7,0
83,2505,2015-11-30,17,1,bottled water,0.5,Beverages,84,0.5,30,11,76.9,2
84,4851,2015-12-20,19,1,sausage,3.1,Fresh Food,85,3.1,10,14,145.2,0
85,4293,2015-08-04,27,2,coffee,8.5,Beverages,86,17.0,91,22,265.7,0
86,2775,2015-11-06,23,3,pork,7.2,Fresh Food,87,21.6,54,10,83.3,2
87,3693,2015-02-18,26,1,berries,10.8,Fresh Food,88,10.8,44,8,96.5,2
88,1202,2015-07-22,38,2,soda,0.8,Beverages,89,1.6,161,10,61.6,4
89,3699,2015-08-23,26,1,berries,10.8,Fresh Food,90,10.8,18,9,119.8,2
90,4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages,91,2.1,195,16,115.0,4
91,4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food,92,1.5,97,17,157.5,0
92,4010,2015-12-29,23,1,pork,7.2,Fresh Food,93,7.2,1,6,19.4,2
93,4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene,94,16.5,13,17,231.44,0
94,3746,2015-08-17,40,1,grapes,9.4,Fresh Food,95,9.4,51,13,112.9,2
95,2560,2015-05-17,19,1,sausage,3.1,Fresh Food,96,3.1,34,24,165.52,0
96,1503,2015-07-25,10,1,chicken,7.2,Fresh Food,97,7.2,135,9,94.5,4
97,2555,2015-12-23,2,3,whole milk,1.8,Dairy,98,5.4,7,16,196.8,0
98,3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,99,1.5,18,11,73.5,2
99,3886,2015-09-11,38,1,soda,0.8,Beverages,100,0.8,42,10,50.0,2
100,2932,2015-03-20,19,3,sausage,3.1,Fresh Food,101,9.3,285,17,88.5,3
101,1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,102,16.5,38,19,163.66,0
102,4291,2015-12-08,19,3,sausage,3.1,Fresh Food,103,9.3,21,16,89.36,2
103,1143,2015-04-25,38,1,soda,0.8,Beverages,104,0.8,249,12,54.5,4
104,4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,105,3.5999999999999996,56,17,142.26,0
105,3337,2015-05-14,8,3,beef,19.5,Fresh Food,106,58.5,203,16,141.86,4
106,4931,2015-05-04,2,1,whole milk,1.8,Dairy,107,1.8,240,14,68.1,4
107,2623,2015-10-10,41,3,processed cheese,6.4,Dairy,108,19.200000000000003,81,9,65.5,2
108,4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,109,7.8,271,6,34.0,3
109,2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,110,11.0,104,6,67.2,2
110,1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,111,10.5,61,8,57.76,2
111,2990,2015-05-23,2,2,whole milk,1.8,Dairy,112,3.6,140,24,303.61,0
112,2426,2015-06-05,26,1,berries,10.8,Fresh Food,113,10.8,113,17,203.5,0
113,4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,114,4.5,53,14,77.7,2
114,3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,115,7.8,17,21,228.33,0
115,3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,116,24.6,156,8,72.4,4
116,4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,117,12.3,279,14,143.84,4
117,1306,2015-06-23,2,3,whole milk,1.8,Dairy,118,5.4,40,9,58.19,2
118,1024,2015-08-10,42,3,fish,10.2,Fresh Food,119,30.599999999999998,142,4,58.2,4
119,1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,120,11.0,160,8,62.35,4
120,1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,121,3.5,52,17,115.16,2
121,4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,122,9.3,200,9,68.0,4
122,3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,123,1.6,181,6,43.2,4
123,3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,124,3.5999999999999996,91,31,192.63,0
124,1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,125,16.5,76,12,85.16,2
125,4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,126,12.5,80,24,205.01,0
126,3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,127,15.600000000000001,25,14,123.12,2
127,1971,2015-09-18,19,1,sausage,3.1,Fresh Food,128,3.1,103,8,120.55,0
128,3014,2015-11-11,31,3,curd cheese,9.2,Dairy,129,27.599999999999998,49,17,256.0,0
129,3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,130,11.0,50,15,161.05,0
130,2489,2015-05-04,2,3,whole milk,1.8,Dairy,131,5.4,8,10,62.42,2
131,3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,132,3.2,179,8,40.3,4
132,4092,2015-09-30,26,1,berries,10.8,Fresh Food,133,10.8,91,10,137.5,0
133,3221,2015-01-13,45,2,curd,9.8,Dairy,134,19.6,184,23,227.2,0
134,1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,135,23.4,111,17,112.9,2
135,2581,2015-08-22,38,3,soda,0.8,Beverages,136,2.4000000000000004,16,12,99.85,2
136,2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,137,2.4,2,10,47.9,2
137,4760,2015-02-22,25,3,canned beer,1.1,Beverages,138,3.3000000000000003,272,18,122.7,4
138,3649,2015-01-16,25,3,canned beer,1.1,Beverages,139,3.3000000000000003,192,17,177.2,4
139,1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,140,5.5,41,11,80.3,2
140,3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,141,2.4000000000000004,133,11,61.05,4
141,4106,2015-08-25,2,3,whole milk,1.8,Dairy,142,5.4,127,13,89.8,4
142,4338,2015-06-24,2,2,whole milk,1.8,Dairy,143,3.6,80,28,239.75,0
143,4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,144,3.0,54,14,58.26,2
144,1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,145,5.5,220,16,107.75,4
145,3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,146,16.5,323,7,126.5,3
146,3928,2015-07-18,16,3,butter milk,6.1,Dairy,147,18.299999999999997,95,10,72.12,2
147,3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,148,36.900000000000006,57,17,169.73,0
148,4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,149,3.1,151,18,162.93,0
149,4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,150,0.8,128,16,175.42,0
150,3028,2015-06-09,19,2,sausage,3.1,Fresh Food,151,6.2,204,15,178.2,4
151,2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,152,1.2,105,29,277.4,0
152,4417,2015-02-25,40,3,grapes,9.4,Fresh Food,153,28.200000000000003,226,15,217.2,4
153,3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,154,5.4,96,19,221.47,0
154,2288,2015-05-31,27,1,coffee,8.5,Beverages,155,8.5,213,12,83.12,4
155,2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,156,7.199999999999999,23,24,241.86,0
156,4554,2015-08-27,2,3,whole milk,1.8,Dairy,157,5.4,125,9,102.6,4
157,3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,158,7.8,161,22,240.5,0
158,2999,2015-04-17,8,1,beef,19.5,Fresh Food,159,19.5,149,8,76.3,4
159,2614,2015-06-25,2,3,whole milk,1.8,Dairy,160,5.4,188,2,9.0,4
160,4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,161,16.5,104,6,83.9,2
161,3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,162,23.4,87,5,63.5,2
162,2587,2015-05-07,25,2,canned beer,1.1,Beverages,163,2.2,211,13,84.25,4
163,3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,164,13.0,191,23,148.0,4
164,1923,2015-02-14,49,2,beverages,1.1,Beverages,165,2.2,24,12,93.15,2
165,4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,166,12.3,21,14,80.84,2
166,1514,2015-08-24,2,2,whole milk,1.8,Dairy,167,3.6,128,10,63.54,4
167,3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,168,6.5,191,11,84.12,4
168,1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,169,0.8,5,2,17.3,2
169,2794,2015-07-18,29,2,ham,15.2,Fresh Food,170,30.4,92,18,236.4,0
170,2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,171,1.6,124,13,101.62,4
171,2238,2015-03-09,45,2,curd,9.8,Dairy,172,19.6,24,13,105.3,2
172,3795,2015-01-17,50,3,bottled beer,1.8,Beverages,173,5.4,347,8,44.3,3
173,3724,2015-11-26,45,2,curd,9.8,Dairy,174,19.6,19,6,76.8,2
174,1152,2015-03-05,2,3,whole milk,1.8,Dairy,175,5.4,164,8,83.05,4
175,4559,2015-03-16,2,1,whole milk,1.8,Dairy,176,1.8,232,10,54.2,4
176,3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,177,3.4499999999999997,124,18,201.75,0
177,1709,2015-04-22,19,2,sausage,3.1,Fresh Food,178,6.2,252,4,34.4,4
178,2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,179,0.8,257,6,19.2,4
179,2206,2015-10-17,29,1,ham,15.2,Fresh Food,180,15.2,74,7,40.5,2
180,1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,181,0.8,255,10,48.6,4
181,3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,182,2.4000000000000004,50,23,134.61,0
182,3296,2015-08-17,38,2,soda,0.8,Beverages,183,1.6,135,14,119.5,4
183,2257,2015-02-05,37,1,herbs,6.5,Fresh Food,184,6.5,229,8,64.9,4
184,4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,185,5.5,155,10,97.42,4
185,2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,186,1.2,112,20,267.32,0
186,2449,2015-07-08,45,3,curd,9.8,Dairy,187,29.400000000000002,175,8,85.6,4
187,4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,188,16.5,31,10,98.76,2
188,2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,189,1.6,2,13,92.75,2
189,4187,2015-05-09,52,3,dog food,12.6,Pet Care,190,37.8,63,21,189.73,0
190,1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,191,5.2,254,6,85.9,4
191,3427,2015-04-28,45,2,curd,9.8,Dairy,192,19.6,246,9,136.7,4
192,1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,193,5.5,313,4,70.32,3
193,3390,2015-11-14,38,1,soda,0.8,Beverages,194,0.8,29,11,108.04,2
194,4787,2015-08-01,8,3,beef,19.5,Fresh Food,195,58.5,140,12,117.9,4
195,3310,2015-01-17,25,2,canned beer,1.1,Beverages,196,2.2,230,11,56.55,4
196,1782,2015-10-10,23,3,pork,7.2,Fresh Food,197,21.6,81,13,164.2,0
197,3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,198,16.5,248,7,81.5,4
198,2760,2015-01-07,19,2,sausage,3.1,Fresh Food,199,6.2,144,23,135.4,4
199,4249,2015-09-13,25,1,canned beer,1.1,Beverages,200,1.1,26,11,87.28,2
200,2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,201,18.8,104,10,65.8,2
201,4090,2015-02-26,45,2,curd,9.8,Dairy,202,19.6,307,6,44.12,3
202,3060,2015-07-05,25,1,canned beer,1.1,Beverages,203,1.1,178,7,45.4,4
203,3768,2015-10-07,2,2,whole milk,1.8,Dairy,204,3.6,84,16,239.91,0
204,1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,205,2.4,182,7,33.0,4
205,1360,2015-10-23,23,3,pork,7.2,Fresh Food,206,21.6,14,16,195.2,0
206,1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,207,3.0,90,20,129.38,0
207,2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,208,10.5,56,8,86.8,2
208,2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,209,1.2,199,10,76.4,4
209,2448,2015-07-12,11,1,butter,3.2,Dairy,210,3.2,1,17,74.9,2
210,1222,2015-09-24,54,1,condensed milk,3.5,Dairy,211,3.5,97,4,16.8,2
211,2943,2015-06-20,19,1,sausage,3.1,Fresh Food,212,3.1,193,8,54.23,4
212,2270,2015-08-11,2,3,whole milk,1.8,Dairy,213,5.4,91,22,222.4,0
213,3812,2015-07-21,19,1,sausage,3.1,Fresh Food,214,3.1,47,20,150.65,0
214,1482,2015-11-22,49,2,beverages,1.1,Beverages,215,2.2,38,20,115.28,2
215,4720,2015-02-22,49,2,beverages,1.1,Beverages,216,2.2,311,13,113.4,3
216,1344,2015-09-04,17,2,bottled water,0.5,Beverages,217,1.0,117,6,26.5,2
217,2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,218,9.600000000000001,87,6,51.94,2
218,4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,219,11.8,131,14,126.1,4
219,4487,2015-07-10,19,1,sausage,3.1,Fresh Food,220,3.1,163,19,194.7,0
220,3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,221,3.2,6,13,177.76,0
221,2443,2015-11-15,19,3,sausage,3.1,Fresh Food,222,9.3,45,21,241.7,0
222,2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,223,2.4,191,7,65.1,4
223,4389,2015-04-13,56,2,white wine,14.2,Beverages,224,28.4,13,17,231.44,0
224,1674,2015-12-04,19,1,sausage,3.1,Fresh Food,225,3.1,26,12,115.55,2
225,4262,2015-10-16,57,2,meat,8.5,Fresh Food,226,17.0,75,17,137.1,0
226,2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,227,11.0,37,10,45.9,2
227,4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,228,5.4,58,21,277.9,0
228,2460,2015-09-28,25,3,canned beer,1.1,Beverages,229,3.3000000000000003,12,9,70.7,2
229,4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,230,23.4,31,20,290.74,0
230,2267,2015-07-03,57,3,meat,8.5,Fresh Food,231,25.5,49,15,161.4,0
231,4891,2015-09-05,2,1,whole milk,1.8,Dairy,232,1.8,85,13,111.1,2
232,3962,2015-09-20,19,3,sausage,3.1,Fresh Food,233,9.3,101,14,119.65,2
233,4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food,234,11.0,30,4,23.15,2
234,2914,2015-11-30,57,1,meat,8.5,Fresh Food,235,8.5,30,9,67.1,2
235,2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food,236,3.6,239,6,14.8,4
236,1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food,237,3.6,137,7,31.74,4
237,3808,2015-08-18,2,2,whole milk,1.8,Dairy,238,3.6,134,10,76.0,4
238,4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food,239,4.5,285,9,52.8,3
239,2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food,240,4.5,32,13,82.22,2
240,4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food,241,0.8,271,5,62.1,4
241,2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food,242,1.5,249,15,99.18,4
242,2620,2015-12-14,19,3,sausage,3.1,Fresh Food,243,9.3,16,8,53.55,2
243,3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food,244,11.0,78,12,115.91,2
244,1226,2015-04-13,59,1,hard cheese,4.5,Dairy,245,4.5,48,10,84.55,2
245,1395,2015-03-07,60,3,cream cheese,6.3,Dairy,246,18.9,79,23,174.64,0
246,2465,2015-06-07,30,3,turkey,12.5,Fresh Food,247,37.5,3,11,124.3,2
247,3572,2015-07-09,23,3,pork,7.2,Fresh Food,248,21.6,174,4,100.4,4
248,4387,2015-05-08,2,2,whole milk,1.8,Dairy,249,3.6,105,17,115.2,2
249,1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets,250,3.5999999999999996,278,2,37.2,3
250,1181,2015-11-16,19,3,sausage,3.1,Fresh Food,251,9.3,44,8,38.2,2
251,2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food,252,5.4,70,17,152.42,0
252,2794,2015-09-16,61,3,liquor,8.5,Beverages,253,25.5,92,18,236.4,0
253,2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food,254,3.0,336,11,61.79,3
254,4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food,255,1.8,127,17,159.0,0
255,2235,2015-10-25,38,3,soda,0.8,Beverages,256,2.4000000000000004,66,13,113.35,2
256,2353,2015-05-02,38,2,soda,0.8,Beverages,257,1.6,242,9,50.7,4
257,3449,2015-03-08,19,1,sausage,3.1,Fresh Food,258,3.1,31,8,32.0,2
258,1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food,259,5.4,50,8,38.9,2
259,1027,2015-05-17,23,1,pork,7.2,Fresh Food,260,7.2,227,9,129.7,4
260,3302,2015-05-22,23,1,pork,7.2,Fresh Food,261,7.2,222,6,47.7,4
261,2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets,262,23.0,8,22,210.51,0
262,2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages,263,6.300000000000001,32,10,74.75,2
263,1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food,264,8.100000000000001,256,7,57.5,4
264,1649,2015-06-30,17,2,bottled water,0.5,Beverages,265,1.0,31,18,178.7,0
265,3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food,266,11.0,72,10,73.92,2
266,2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food,267,23.4,38,6,45.8,2
267,2703,2015-05-08,25,3,canned beer,1.1,Beverages,268,3.3000000000000003,100,9,73.0,2
268,3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food,269,3.6,333,5,33.55,3
269,2473,2015-07-01,57,1,meat,8.5,Fresh Food,270,8.5,182,6,26.4,4
270,2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food,271,5.5,0,17,171.4,0
271,1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food,272,15.6,198,12,91.3,4
272,4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food,273,7.8,3,13,135.99,0
273,3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food,274,3.0,7,21,132.39,0
274,2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food,275,12.3,63,12,88.4,2
275,1507,2015-06-22,10,1,chicken,7.2,Fresh Food,276,7.2,191,16,130.6,4
276,2870,2015-01-21,10,3,chicken,7.2,Fresh Food,277,21.6,66,13,228.6,0
277,3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food,278,16.5,184,18,171.52,4
278,4148,2015-04-09,25,1,canned beer,1.1,Beverages,279,1.1,265,12,83.05,4
279,2970,2015-12-30,30,1,turkey,12.5,Fresh Food,280,12.5,0,7,33.6,2
280,2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,281,10.5,122,7,32.45,2
281,3967,2015-05-30,46,3,pasta,3.1,Pantry Staples,282,9.3,37,16,119.99,2
282,2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food,283,4.5,41,14,116.0,2
283,3935,2015-07-02,19,2,sausage,3.1,Fresh Food,284,6.2,181,8,86.2,4
284,3283,2015-05-01,2,1,whole milk,1.8,Dairy,285,1.8,181,9,46.4,4
